num,dep,arr,time,fleet,airline
AIB220,CYMX,KBFM,2:30,A318,"Airbus Industry
"
AIB359UT,FAOK,YSSY,12:30,A359,"Airbus Industry
"
AIB161B,LEUT,LFBO,1:10,A333,"Airbus Industry
"
AIB110T,LFBO,EDHI,2:30,A318,"Airbus Industry
"
AIB1V1A,LFBO,ZBTJ,10:20,A359,"Airbus Industry
"
AIB103,LFBO,EUYP,13:30,A359,"Airbus Industry
"
AIB109,LFBO,OPKC,3:00,A318,"Airbus Industry
"
AIB125,LFBO,AYPY,18:50,A359,"Airbus Industry
"
AIB129,LFBO,NFFN,19:30,A359,"Airbus Industry
"
AIB40WT,LFBO,YSSY,13:50,A388,"Airbus Industry
"
AIB350WT,OTHH,YPPH,12:20,A359,"Airbus Industry
"
AIB102,RKSS,RJTT,1:30,A359,"Airbus Industry
"
AIB359WT,SCEL,SBUR,3:00,A359,"Airbus Industry
"
AIB40WT,YSSY,YMML,1:50,A388,"Airbus Industry
"
AIB359CN,ZJHK,ZGSD,0:35,A359,"Airbus Industry
"
