dep,arr,num,time,fleet,fleetnew,airline
VHHH,VNKT,CX603,4:50,,A330-300,Cathay Pacific
VHHH,VOBL,CX623,5:30,,A330-300,Cathay Pacific
VHHH,VDPP,CX605,2:50,,A330-300,Cathay Pacific
VHHH,RJFF,CX588,3:15,,A350-900,Cathay Pacific
VHHH,VVNB,CX743,2:20,,"B777-300ER,A350-900",Cathay Pacific
VHHH,ZSWZ,CX396,1:50,,A330-300,Cathay Pacific
VHHH,ZSFZ,CX990,1:40,,A330-300,Cathay Pacific
VHHH,ZHHH,CX924,1:55,,A330-300,Cathay Pacific
VHHH,ZHCC,CX952,2:45,,A330-300,Cathay Pacific
VHHH,ZSAM,CX970,1:30,,"A330-300,A321-200",Cathay Pacific
VHHH,ZSAM,CX978,1:30,,"B777-300ER,A330-300",Cathay Pacific
VHHH,ZSQD,CX954,3:15,,A321-200,Cathay Pacific
VHHH,WMKK,CX725,4:05,B777-300,A350-900,Cathay Pacific
VHHH,WMKK,CX727,4:05,B777-300,,Cathay Pacific
VHHH,WMKK,CX731,4:05,B777-300,,Cathay Pacific
VHHH,WMKK,CX729,4:05,B747-400,,Cathay Pacific
VHHH,ZSHC,CX958,2:15,,"A330-300,A321-200",Cathay Pacific
VHHH,ZSHC,CX960,2:15,,A330-300,Cathay Pacific
VHHH,ZUCK,CX928,2:35,,A330-300,Cathay Pacific
VHHH,ZUUU,CX986,2:55,,A330-300,Cathay Pacific
VHHH,ZGGG,CX982,1:00,,"A330-300,A321-200",Cathay Pacific
VHHH,ZGGG,CX988,1:00,,A330-300,Cathay Pacific
VHHH,VVTS,CX767,2:45,A330-300,"B777-300ER,A350-900",Cathay Pacific
VHHH,VVTS,CX721,2:45,A330-300,,Cathay Pacific
VHHH,VVTS,CX799,2:45,B777-300,"B777-300ER,A350-900",Cathay Pacific
VHHH,KSEA,CX858,12:25,A359-900,,Cathay Pacific
VHHH,KSFO,CX870,12:35,B777-300,,Cathay Pacific
VHHH,KSFO,CX872,12:35,B777-300,,Cathay Pacific
VHHH,KSFO,CX892,12:35,B777-300,,Cathay Pacific
VHHH,KSFO,CX892,12:35,,A350-900,Cathay Pacific
VHHH,KBOS,CX812,16:05,B777-300,,Cathay Pacific
VHHH,KIAD,CX866,15:35,A359-900,,Cathay Pacific
VHHH,KEWR,CX890,15:50,A359-900,,Cathay Pacific
VHHH,KJFK,CX844,16:05,B777-300,,Cathay Pacific
VHHH,KJFK,CX830,16:05,B777-300,,Cathay Pacific
VHHH,KJFK,CX840,16:05,B777-300,,Cathay Pacific
VHHH,KJFK,CX846,16:05,,A350-900,Cathay Pacific
VHHH,KJFK,"CX844
",16:05,,A350-900,Cathay Pacific
VHHH,KLAX,CX884,13:05,B777-300,B777-300ER,Cathay Pacific
VHHH,KLAX,CX880,13:05,B777-300,,Cathay Pacific
VHHH,KLAX,CX882,13:05,B777-300,,Cathay Pacific
VHHH,KORD,CX806,15:10,B777-300,,Cathay Pacific
VHHH,EGCC,CX219,12:50,A359-900,A350-900,Cathay Pacific
VHHH,EGKK,CX343,12:45,A359-900,,Cathay Pacific
VHHH,EGLL,CX257,13:05,B777-300,,Cathay Pacific
VHHH,EGLL,CX253,13:05,B777-300,,Cathay Pacific
VHHH,EGLL,CX239,13:05,B777-300,,Cathay Pacific
VHHH,EGLL,CX251,13:05,B777-300,A350-900,Cathay Pacific
