num,dep,arr,fleet,time,airline
CA1307,ZBAA,ZGSZ,A330-300,3:20,Air China
CA964,ZBAA,EDDL,A330-300,8:35,Air China
CA113,ZBAA,RJAA,A330-300,3:15,Air China
CA123,ZBAA,RKSI,A330-300,2:00,Air China
CA189,ZBAA,RCTP,A330-300,3:00,Air China
CA945,ZBAA,OPIS,A330-300,6:15,Air China
CA179,ZBAA,RPLL,A330-300,4:35,Air China
CA909,ZBAA,UUEE,A330-300,8:44,Air China
CA961,ZBAA,EDDM,A330-300,10:30,Air China
CA911,ZBAA,ESSA,A330-300,9:30,Air China
CA927,ZBAA,RJBB,A330-300,3:00,Air China
CA721,ZBAA,LHBP,A330-300,10:30,Air China
CA821,ZBAA,VTSP,A330-300,6:35,Air China
CA947,ZBAA,VIDP,A330-300,7:10,Air China
CA169,ZBAA,RJCC,A330-300,3:40,Air China
CA864,ZBAA,LGAV,A330-300,9:40,Air China
CA877,ZBAA,EKCH,A330-300,9:35,Air China
CA181,ZBAA,RJTT,A330-300,3:15,Air China
CA737,ZBAA,EPWA,A330-300,9:25,Air China
CA871,ZBAA,WMKK,A330-300,6:20,Air China
CA841,ZBAA,LOWW,A330-300,10:00,Air China
CA165,ZBAA,YMML,A330-300,11:35,Air China
CA1403,ZBAA,ZPPP,A330-300,3:40,Air China
CA977,ZBAA,WIII,A330-300,7:05,Air China
CA979,ZBAA,VTBS,A330-300,5:06,Air China
CA 845,ZBAA,LEBL,A330-300,11:15,Air China
CA889,ZBAA,VABB,A330-300,8:20,Air China
CA1815,ZBAA,ZSAM,A330-300,3:00,Air China
CA166,YMML,ZBAA,A330-300,11:45,Air China
CA173,YSSY,ZBAA,A330-300,11:25,Air China
CA890,VABB,ZBAA,A330-300,6:38,Air China
CA961,EDDM,ZBAA,A330-300,10:21,Air China
CA842,LOWW,ZBAA,A330-300,8:35,Air China
CA864,LGAV,ZBAA,A330-300,9:40,Air China
CA846,LEBL,ZBAA,A330-300,10:20,Air China
CA722,LHBP,ZBAA,A330-300,9:15,Air China
CA978,WIII,ZBAA,A330-300,7:10,Air China
CA942,OMDB,ZBAA,A330-300,7:15,Air China
CA1711,ZSHC,ZBAA,A330-300,1:55,Air China
CA872,WMKK,ZBAA,A330-300,6:25,Air China
CA877,EKCH,ZBAA,A330-300,9:30,Air China
CA1374,ZGHA,ZBAA,A330-300,2:15,Air China
CA123,RKSI,ZBAA,A330-300,1:25,Air China
CA861,ZBAA,LSGG,A330-200,11:50,Air China
CA1609,ZBAA,ZYCC,A330-200,2:00,Air China
CA946,ZBAA,OKPC,A330-200,7:40,Air China
CA721,ZBAA,UMMS,A330-200,8:45,Air China
CA941,ZBAA,OMDB,A330-200,9:30,Air China
CA180,RPLL,ZBAA,A330-200,5:30,Air China
CA946,OPKC,ZBAA,A330-200,7:00,Air China
CA910,UUEE,ZBAA,A330-200,6:50,Air China
CA912,ESSA,ZBAA,A330-200,7:55,Air China
CA963,EDDL,ZBAA,A330-200,9:45,Air China
CA741,ZBAA,VVNB,A321,4:00,Air China
CA1539,ZBAA,ZSWZ,A321,2:40,Air China
CA1651,ZBAA,ZYTX,A321,1:30,Air China
CA1505,ZBAA,ZSFZ,A321,2:50,Air China
CA1575,ZBAA,ZSQD,A321,1:25,Air China
CA1819,ZBAA,ZSNJ,A321,2:00,Air China
CA745,ZBAA,VDPP,A321,5:00,Air China
CA1473,ZBAA,ZGSD,A321,3:25,Air China
CA1131,ZBAA,ZBDS,A321,2:15,Air China
CA1485,ZBAA,ZGNN,A321,3:25,Air China
CA117,ZBAA,VHHH,A321,3:40,Air China
CA1331,ZBAA,ZHCC,A321,1:55,Air China
CA1253,ZBAA,ZWWW,A321,3:55,Air China
CA1511,ZBAA,ZSCN,A321,2:35,Air China
CA8303,ZBAA,ZSOF,A321,1:55,Air China
CA1493,ZBAA,ZUGY,A321,3:10,Air China
CA1695,ZBAA,ZYDQ,A321,2:10,Air China
CA1131,ZBAA,ZBLA,A321,2:15,Air China
CA1546,ZSYT,ZBAA,A321,1:05,Air China
CA1576,ZSQD,ZBAA,A321,1:10,Air China
CA742,VVNB,ZBAA,A321,3:32,Air China
CA824,VTCC,ZBAA,A321,4:15,Air China
CA8178,ZSNB,ZBAA,A321,2:05,Air China
CA1348,ZGOW,ZBAA,A321,3:00,Air China
CA4512,ZYQQ,ZBAA,A321,2:55,Air China
CA1224,ZLXY,ZBAA,A321,1:45,Air China
CA8306,ZSWZ,ZBAA,A321,2:20,Air China
CA746,VDPP,ZBAA,A321,4:22,Air China
CA1228,ZLIC,ZBAA,A321,1:45,Air China
CA1820,ZSNJ,ZBAA,A321,1:33,Air China
CA8666,ZHCC,ZBAA,A321,1:35,Air China
CA1362,ZJHK,ZBAA,A321,3:18,Air China
CA791,ZBAA,UACC,A320 NEO,6:30,Air China
CA783,ZBAA,NZAA,787-9,12:10,Air China
CA0002,ZBAA,MUHA,787-9,19:25,Air China
CA595,ZBAA,LIMC,787-9,9:50,Air China
CA855,ZBAA,EGLL,787-9,10:30,Air China
CA879,ZBAA,CYUL,787-9,13:00,Air China
CA0008,ZBAA,SBGR,787-9,25:25:00,Air China
CA0007,ZBAA,MPTO,787-9,20:15,Air China
CA939,ZBAA,LIRF,787-9,11:30,Air China
CA880,MUHA,ZBAA,787-9,17:10,Air China
CA1858,ZSSS,ZBAA,787-9,2:00,Air China
CA596,LIMC,ZBAA,787-9,9:01,Air China
CA784,NZAA,ZBAA,787-9,13:10,Air China
CA1304,ZSGZ,ZBAA,787-9,3:00,Air China
CA908,LEMD,ZBAA,787-9,12:45,Air China
CA920,KEWR,ZBAA,787-9,14:38,Air China
CA976,WSSS,ZBAA,787-9,5:50,Air China
CA1398,ZGSZ,ZBAA,787-9,3:10,Air China
CA0060,UACC,ZBAA,787-9,5:55,Air China
CA0073,SBGR,ZBAA,787-9,21:00,Air China
CA0123,EPWA,ZBAA,787-9,8:45,Air China
CA0111,RJAA,ZBAA,787-9,3:45,Air China
CA0124,KIAD,ZBAA,787-9,13:15,Air China
CA1361,ZBAA,ZJHK,777-300,3:35,Air China
CA885,ZBAA,KIAH,777-300,13:10,Air China
CA9815,ZBAA,ZSSS,777-300,2:00,Air China
CA987,ZBAA,KLAX,777-300,11:25,Air China
CA868,ZBAA,FAOR,777-300,14:05,Air China
CA173,ZBAA,YSSY,777-300,10:50,Air China
CA819,ZBAA,KEWR,777-300,13:30,Air China
CA997,ZBAA,CYVR,777-300,10:25,Air China
CA817,ZBAA,KIAD,777-300,13:25,Air China
CA933,ZBAA,LFPG,777-300,11:15,Air China
CA992,CYVR,ZBAA,777-300,11:30,Air China
CA868,FAOR,ZBAA,777-300,13:20,Air China
CA1804,ZJSY,ZBAA,777-300,3:20,Air China
CA558,KSFO,ZBAA,777-300,12:05,Air China
CA934,LFPG,ZBAA,777-300,9:04,Air China
CA980,VTBS,ZBAA,777-300,4:30,Air China
CA6604,VHHH,ZBAA,777-300,3:30,Air China
CA1836,ZSPD,ZBAA,777-300,2:00,Air China
CA1450,ZUCK,ZBAA,777-300,2:20,Air China
CA990,KJFK,ZBAA,777-300,12:33,Air China
CA984,KLAX,ZBAA,777-300,13:04,Air China
CA886,MPTO,ZBAA,777-300,14:49,Air China
CA932,EDDF,ZBAA,777-300,8:43,Air China
CA0110,RJTT,ZBAA,777-300,3:45,Air China
CA938,EGLL,ZBAA,777-300,9:40,Air China
CA1416,ZUUU,ZBAA,777-300,2:45,Air China
CA880,CYUL,ZBAA,777-300,13:29,Air China
CA981,ZBAA,KJFK,747-400,12:50,Air China
CA907,ZBAA,LEMD,747-400,11:30,Air China
CA1351,ZBAA,ZGGG,747-8,3:25,Air China
CA985,ZBAA,KSFO,747-8,11:20,Air China
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
