num,dep,arr,time,fleet,airline
KA802,VHHH,ZSPD,2:45,A330-300,Dragonair
KA864,VHHH,ZSPD,2:45,A330-300,Dragonair
KA878,VHHH,ZSPD,2:45,A330-300,Dragonair
KA804,VHHH,ZSPD,2:45,A330-300,Dragonair
KA892,VHHH,ZSPD,2:45,A330-300,Dragonair
KA874,VHHH,ZSPD,2:45,A321-200,Dragonair
KA890,VHHH,ZSPD,2:45,A321-200,Dragonair
KA896,VHHH,ZSPD,2:45,A321-200,Dragonair
KA808,VHHH,ZSPD,2:45,A321-200,Dragonair
KA800,VHHH,ZSPD,2:45,A321-200,Dragonair
KA870,VHHH,ZSPD,2:45,A321-200,Dragonair
KA782,VHHH,ZGGG,1:00,A321-200,Dragonair
KA786,VHHH,ZGGG,1:00,A321-200,Dragonair
KA820,VHHH,ZUUU,2:55,A330-300,Dragonair
KA824,VHHH,ZUUU,2:55,A321-200,Dragonair
KA486,VHHH,RCTP,1:45,A321-200,Dragonair
KA482,VHHH,RCTP,1:45,A321-200,Dragonair
KA720,VHHH,ZGHA,1:40,A321-200,Dragonair
KA810,VHHH,ZSNJ,2:35,A321-200,Dragonair
KA862,VHHH,ZSNJ,2:35,A321-200,Dragonair
KA618,VHHH,ZSAM,1:30,A330-300,Dragonair
KA600,VHHH,ZSAM,1:30,A330-300,Dragonair
KA606,VHHH,ZSAM,1:30,A330-300,Dragonair
KA740,VHHH,ZHCC,2:45,A321-200,Dragonair
KA852,VHHH,ZHHH,1:55,A321-200,Dragonair
KA854,VHHH,ZHHH,1:55,A321-200,Dragonair
KA714,VHHH,ZGNN,1:50,A320-200,Dragonair
KA694,VHHH,ZJHK,1:25,A321-200,Dragonair
KA968,VHHH,ZSJN,2:50,A321-200,Dragonair
KA660,VHHH,ZSFZ,1:40,A321-200,Dragonair
KA668,VHHH,ZSFZ,1:40,A321-200,Dragonair
KA650,VHHH,ZJSY,1:45,A321-200,Dragonair
KA640,VHHH,ZSNB,2:15,A321-200,Dragonair
KA642,VHHH,ZSNB,2:15,A321-200,Dragonair
KA212,VHHH,VTSP,3:45,A321-200,Dragonair
KA214,VHHH,VTSP,3:45,A321-200,Dragonair
KA254,VHHH,VYYY,3:20,A321-200,Dragonair
KA250,VHHH,VYYY,3:20,A321-200,Dragonair
KA312,VHHH,RKPK,3:10,A321-200,Dragonair
KA452,VHHH,RCKH,1:30,A321-200,Dragonair
KA432,VHHH,RCKH,1:30,A321-200,Dragonair
KA440,VHHH,RCKH,1:30,A321-200,Dragonair
KA436,VHHH,RCKH,1:30,A321-200,Dragonair
KA454,VHHH,RCKH,1:30,A321-200,Dragonair
KA456,VHHH,RCKH,1:30,A321-200,Dragonair
KA438,VHHH,RCKH,1:30,A321-200,Dragonair
KA375,VHHH,RPLC,2:10,A321-200,Dragonair
KA633,VHHH,WMKP,3:50,A321-200,Dragonair
KA691,VHHH,WMKP,3:50,A321-200,Dragonair
KA246,VHHH,VDSR,2:45,A321-200,Dragonair
KA490,VHHH,RCMP,1:35,A321-200,Dragonair
KA347,VHHH,RPMD,3:10,A321-200,Dragonair
KA900,VHHH,ZBAA,3:25,A321-200,Dragonair
KA992,VHHH,ZBAA,3:25,A321-200,Dragonair
KA902,VHHH,ZBAA,3:25,A321-200,Dragonair
KA974,VHHH,ZBAA,3:25,A321-200,Dragonair
KA904,VHHH,ZBAA,3:25,A330-300,Dragonair
KA906,VHHH,ZBAA,3:25,A330-300,Dragonair
KA996,VHHH,ZBAA,3:25,A320-200,Dragonair
KA946,VHHH,ZLXY,3:05,A321-200,Dragonair
KA842,VHHH,ZUCK,2:35,A320-200,Dragonair
KA760,VHHH,ZPPP,2:40,A330-300,Dragonair
KA626,VHHH,ZSHC,2:15,A330-300,Dragonair
KA620,VHHH,ZSHC,2:15,A330-300,Dragonair
KA636,VHHH,ZSHC,2:15,A321-200,Dragonair
KA622,VHHH,ZSHC,2:15,A321-200,Dragonair
KA731,VHHH,WMKK,4:05,A330-300,Dragonair
KA725,VHHH,WMKK,4:05,A330-300,Dragonair
KA729,VHHH,WMKK,4:05,A330-300,Dragonair
KA727,VHHH,WMKK,4:05,A330-300,Dragonair
KA950,VHHH,ZSQD,3:15,A330-300,Dragonair
KA794,VHHH,ZSWZ,1:50,A321-200,Dragonair
KA798,VHHH,ZSWZ,1:50,A321-200,Dragonair
KA858,VHHH,ZSSS,2:20,A330-300,Dragonair
KA704,VHHH,ZGKL,1:35,A321-200,Dragonair
KA297,VHHH,VVNB,2:20,A321-200,Dragonair
KA295,VHHH,VVNB,2:20,A321-200,Dragonair
KA168,VHHH,VECC,4:40,A321-200,Dragonair
KA382,VHHH,RJFF,3:15,A330-300,Dragonair
KA380,VHHH,RJFF,3:15,A330-300,Dragonair
KA226,VHHH,VVDN,2:00,A320-200,Dragonair
KA208,VHHH,VDPP,2:50,A320-200,Dragonair
KA206,VHHH,VDPP,2:50,A320-200,Dragonair
KA326,VHHH,RKPC,2:55,A321-200,Dragonair
KA154,VHHH,VOBG,6:25,A330-300,Dragonair
KA110,VHHH,VGZR,4:25,A330-300,Dragonair
KA232,VHHH,VTCC,3:05,A320-200,Dragonair
