num,dep,arr,time,fleet,airline
UX55,LEMD ,MPTO,14:00,"B787-9,A330",Air Europa
UX56,MPTO,LEMD,14:00,"B787-9,A330",Air Europa
UX25,LEMD,SLVR,10:50,"B787-8,B787-9,A330",Air Europa
UX26,SLVR,LEMD,10:50,"B787-8,B787-9,A330",Air Europa
UX175,LEMD,SPJC,11:35,"B787-8,B787-9,A330",Air Europa
UX176,SPJC,LEMD,11:50,"B787-8,B787-9,A330",Air Europa
UX193,LEMD,SKBO,10:25,"B787-9,A330",Air Europa
UX194,SKBO,LEMD,10:25,"B787-9,A330",Air Europa
UX91,LEMD,KJFK,8:45,B787-9,Air Europa
UX92,KJFK,LEMD,8:45,B787-9,Air Europa
UX9073,LEMD,GCRR,2:40,"E195,B737-8",Air Europa
UX9076,GCRR,LEMD,2:40,"E195,B737-8",Air Europa
UX1509,LEMD,EDDF,2:40,"E195,B737-8",Air Europa
UX1506,EDDF,LEMD,2:40,"E195,B737-8",Air Europa
UX1445,LEMD,EDDL,2:40,"E195,B737-8",Air Europa
UX1446,EDDL,LEMD,2:40,"E195,B737-8",Air Europa
UX1093,LEMD,EHAM,2:30,"E195,B737-8",Air Europa
UX1094,EHAM,LEMD,2:30,"E195,B737-8",Air Europa
UX1171,LEMD,EBBR,2:30,"E195,B737-8",Air Europa
UX1172,EBBR,LEMD,2:30,"E195,B737-8",Air Europa
UX1015,LEMD,EGKK,2:25,"E195,B787-9",Air Europa
UX1016,EGKK,LEMD,2:25,"E195,B787-9",Air Europa
UX1671,LEMD,LSZH,2:15,E195,Air Europa
UX1672,LSZH,LEMD,2:15,E195,Air Europa
UX6048,LEPA,LEMD,1:20,E195,Air Europa
UX6067,LEMD,LEPA,1:20,E195,Air Europa
