num,dep,arr,time,fleet,airline
DLH796,EDDF,VHHH,11:35,A340,Lufthansa
DLH797,VHHH,EDDF,12:15,A340,Lufthansa
DLH2486,EDDM,EGLL,2:00,A320,Lufthansa
DLH2487,EGLL,EDDM,1:45,A320,Lufthansa
DLH856 (A),EDDF,BIKF,3:40,A320,Lufthansa
DLH857 (A),BIKF,EDDF,3:30,A320,Lufthansa
DLH720,EDDF,ZBAA,10:20,A388,Lufthansa
DLH721,ZBAA,EDDF,10:35,A388,Lufthansa
DLH400,EDDF,KJFK,8:40,A388,Lufthansa
DLH401,KJFK,EDDF,7:55,A388,Lufthansa
DLH95,EDDM,WSSS,12:10,A350,Lufthansa
DLH96,WSSS,EDDM,12:25,A350,Lufthansa
DLH452,EDDM,KLAX,12:00,A350,Lufthansa
DLH453,KLAX,EDDM,11:10,A350,Lufthansa
DLH1212,EDDF,LSGG,1:05,A319,Lufthansa
DLH1213,LSGG,EDDF,1:15,A319,Lufthansa
DLH103 (A),EDDM,RJTT,11:30,A340,Lufthansa
DLH104 (A),RJTT,EDDM,12:00,A340,Lufthansa
DLH1870,EDDM,LIRF,1:30,A320,Lufthansa
DLH1871,LIRF,EDDM,1:30,A320,Lufthansa
DLH470 (A),EDDF,CYYZ,8:30,B744,Lufthansa
DLH471 (A),CYYZ,EDDF,7:40,B744,Lufthansa
DLH1232 (A),EDDF,LOWW,1:20,A320,Lufthansa
DLH1233 (A),LOWW,EDDF,1:25,A320,Lufthansa
DLH1396,EDDF,LKPR,1:00,A320,Lufthansa
DLH1397,LKPR,EDDF,1:10,A320,Lufthansa
DLH1450,EDDF,UUDD,3:10,A320,Lufthansa
DLH1451,UUDD,EDDF,3:25,A320,Lufthansa
DLH1452,EDDM,UUDD,3:05,A319,Lufthansa
DLH1453,UUDD,EDDM,3:15,A319,Lufthansa
DLH2232,EDDM,LFPG,1:10,A320,Lufthansa
DLH2233,LFPG,EDDM,1:15,A320,Lufthansa
