num,dep,arr,time,fleet,airline
NZ288,ZSPD,NZAA,10:40,B789,Air New Zealand
NZ289,NZAA,ZSPD,11:40,B789,Air New Zealand
NZ1002,NZAA,KLAX,11:30,"B789, B77W",Air New Zealand
NZ1003,KLAX,NZAA,12:30,"B789, B77W",Air New Zealand
NZ1007,KSFO,NZAA,12:20,"B789, B77W",Air New Zealand
NZ1008,NZAA,KSFO,11:30,"B789, B77W",Air New Zealand
NZ1010,NZCH,KLAX,12:30,B789,Air New Zealand
NZ1075,NZAA,RKSI,11:15,B789,Air New Zealand
NZ1076,RKSI,NZAA,10:50,B789,Air New Zealand
NZ1077,NZAA,RCTP,10:40,B789,Air New Zealand
NZ1078,RCTP,NZAA,10:15,B789,Air New Zealand
NZ1080,VHHH,NZAA,10:15,"B789, B77W",Air New Zealand
NZ1081,NZAA,VHHH,10:40,"B789, B77W",Air New Zealand
NZ1082,NZCH,ZGGG,11:20,B789,Air New Zealand
NZ5105,NZAA,NZPM,1:10,ATR72(CRJ7),Air New Zealand
NZ5120,NZPM,NZAA,1:10,ATR72(CRJ7),Air New Zealand
NZ5176,NZCH,NZPM,1:00,ATR72(CRJ7),Air New Zealand
NZ5490,NZNR,NZAA,0:55,ATR72(CRJ7),Air New Zealand
NZ5495,NZAA,NZNR,0:50,ATR72(CRJ7),Air New Zealand
NZ5616,NZCH,NZHN,1:30,ATR72(CRJ7),Air New Zealand
NZ5617,NZHN,NZCH,1:40,ATR72(CRJ7),Air New Zealand
NZ5646,NZQN,NZCH,1:00,ATR72(CRJ7),Air New Zealand
NZ5647,NZCH,NZQN,1:00,ATR72(CRJ7),Air New Zealand
NZ5711,NZCH,NZNV,1:10,ATR72(CRJ7),Air New Zealand
NZ5711,NZPM,NZCH,1:05,ATR72(CRJ7),Air New Zealand
NZ8092,NZAP,NZAA,0:50,DH8D(Generic),Air New Zealand
NZ8095,NZAA,NZAP,0:50,DH8D(Generic),Air New Zealand
NZ8150,NZRO,NZAA,0:45,DH8D(Generic),Air New Zealand
NZ8155,NZAA,NZRO,0:45,DH8D(Generic),Air New Zealand
NZ8171,NZAA,NSGS,1:05,DH8D(Generic),Air New Zealand
NZ8174,NSGS,NZAA,1:05,DH8D(Generic),Air New Zealand
NZ8192,NZTU,NZWN,1:10,DH8D(Generic),Air New Zealand
NZ8193,NZWN,NZTU,1:05,DH8D(Generic),Air New Zealand
NZ8209,NZAA,NZWB,1:30,DH8D(Generic),Air New Zealand
NZ8212,NZWB,NZAA,1:25,DH8D(Generic),Air New Zealand
NZ8231,NZRO,NZWN,1:00,DH8D(Generic),Air New Zealand
NZ8232,NZWN,NZRO,1:00,DH8D(Generic),Air New Zealand
NZ8250,NZWN,NZTG,1:05,DH8D(Generic),Air New Zealand
NZ8251,NZTG,NZWN,1:10,DH8D(Generic),Air New Zealand
NZ8269,NZKK,NZAA,0:45,DH8D(Generic),Air New Zealand
NZ8272,NZAA,NZKK,0:50,DH8D(Generic),Air New Zealand
