num,dep,arr,time,fleet,airline
QR719,OTHH,KSEA,15:00,"B77L, B77W",Qatar Airways
QR720,KSEA,OTHH,14:00,"B77L, B77W",Qatar Airways
QR743,OTHH,KBOS,14:00,"788, A359",Qatar Airways
QR737,OTHH,KSFO,14:50,A359,Qatar Airways
QR738,KSFO,OTHH,15:10,A359,Qatar Airways
QR744,KBOS,OTHH,11:40,"788, A359",Qatar Airways
QR777,OTHH,KMIA,13:55,A359,Qatar Airways
QR778,KMIA,OTHH,13:55,A359,Qatar Airways
QR905,YMML,OTHH,13:45,A359,Qatar Airways
QR904,OTHH,YMML,13:45,A359,Qatar Airways
"QR906 (A), QR908",OTHH,YSSY,13:40,"A359, 77W, A388",Qatar Airways
"QR907 (B), QR909",YSSY,OTHH,14:45,"A359, 77W, A388",Qatar Airways
QR726,KORD,OTHH,13:10,77W,Qatar Airways
QR725,OTHH,KORD,13:10,77W,Qatar Airways
"QR701, QR703",OTHH,KJFK,12:15,"788, A359, 77W",Qatar Airways
"QR702, QR704",KJFK,OTHH,12:15,"788, A359, 77W",Qatar Airways
QR767,OTHH,CYYZ,12:00,A359,Qatar Airways
QR768,CYYZ,OTHH,12:00,A359,Qatar Airways
QR900,OTHH,YPPH,10:30,A359,Qatar Airways
QR901,YPPH,OTHH,11:00,A359,Qatar Airways
QR807,RJAA,OTHH,10:20,A359,Qatar Airways
QR806,OTHH,RJAA,10:20,A359,Qatar Airways
QR890,OTHH,ZSHC,9:05,"A333, 77W",Qatar Airways
QR891,ZSHC,OTHH,9:05,"A333, 77W",Qatar Airways
"QR929, QR933, QR936",RPLL,OTHH,9:00,77W,Qatar Airways
"QR928, QR932, QR935",OTHH,RPLL,9:00,77W,Qatar Airways
QR871,ZSPD,OTHH,8:55,77W,Qatar Airways
QR870,OTHH,ZSPD,8:55,77W,Qatar Airways
QR858,OTHH,RKSI,8:00,77W,Qatar Airways
"QR815, QR817",VHHH,OTHH,8:00,77W,Qatar Airways
QR816,OTHH,VHHH,8:00,77W,Qatar Airways
QR859,RKSI,OTHH,8:00,77W,Qatar Airways
QR875,ZGGG,OTHH,7:50,B77W,Qatar Airways
QR874,OTHH,ZGGG,7:50,B77W,Qatar Airways
QR880,OTHH,ZUCK,7:45,A333,Qatar Airways
QR881,ZUCK,OTHH,7:45,A333,Qatar Airways
QR860,OTHH,ZUUU,7:40,A333,Qatar Airways
QR861,ZUUU,OTHH,7:40,A333,Qatar Airways
"QR943, QR945, QR947",WSSS,OTHH,7:35,"A333, A359, B77W, B77L",Qatar Airways
QR942,OTHH,WSSS,7:35,"A333, A359, B77W, B77L",Qatar Airways
"QR893, QR897",ZBAA,OTHH,7:25,77W,Qatar Airways
QR896,OTHH,ZBAA,7:25,77W,Qatar Airways
"QR8915, QR8915",VMMC,OTHH,7:10,B772,Qatar Airways
QR8908,OTHH,VMMC,7:10,B772,Qatar Airways
"QR1, QR3, QR5",OTHH,EGLL,6:50,"A359, 77W, A388, A333",Qatar Airways
"QR38, QR40, QR42",LFPG,OTHH,6:20,"77W, A388, A333",Qatar Airways
"QR37, QR39",OTHH,LFPG,6:20,"77W, A388, A333",Qatar Airways
"QR2, QR4, QR6, QR8, QR10, QR16",EGLL,OTHH,6:20,"A359, 77W, A388, A333",Qatar Airways
"QR826, QR830, QR832, QR834",OTHH,VTBS,6:45,"788, A359, 77W, A388, A333",Qatar Airways
"QR827, QR831, Qr833, Qr837, QR839, QR891",VTBS,OTHH,6:45,"788, A359, A346, 77W, A388, A333",Qatar Airways
"QR137, QR141, QR193 QR195",OTHH,EBBR,6:15,"788, A359, 77L, 77W, A333",Qatar Airways
"QR194, QR196, QR8246, QR8248",EBBR,OTHH,6:15,"788, A359, 77L, 77W, A333",Qatar Airways
"QR67, QR69",OTHH,EDDF,6:00,"77W, A388",Qatar Airways
"QR68, QR70",EDDF,OTHH,6:00,"77W, A388",Qatar Airways
QR81,OTHH,EDDT,5:55,77W,Qatar Airways
QR82,EDDT,OTHH,5:55,778,Qatar Airways
QR93,OTHH,LSZH,5:50,A359,Qatar Airways
"QR94, QR96",LSZH,OTHH,5:50,A359,Qatar Airways
"QR571, QR579",VIDP,OTHH,3:40,"788, A359",Qatar Airways
"QR570, QR578",OTHH,VIDP,3:40,"788, A359",Qatar Airways
"QR1070, QR1072, QR1074, QR1076",OTHH,OKBK,1:25,"A321, A359, B77W, B77L, A333",Qatar Airways
"QR1071, QR1073, QR1075, QR1077, QR1079, QR1081, QR1083, QR1085, QR1087",OKBK,OTHH,1:25,"A321, A359, B77W, B77L, A333",Qatar Airways
"QR1002, QR1018",OTHH,OMDB,0:40,"A359, B77W, B77L, B788",Qatar Airways
"QR1003, QR1019",OMDB,OTHH,0:50,"A359, B77W, B77L, B788",Qatar Airways
